CID,SMILES
18676105,CC(=O)CC(=O)C1=CC(=NC=C1)Cl
24986779,CC(C(=O)CC(=O)C)OC
69175241,CC1(CCC(C1=O)C(=O)C(F)(F)F)C
43186929,CC1=CC=C(O1)C(=O)CC(=O)C(F)(F)F
255149,CC1=CC(=C(O1)C)C(=O)CC(=O)C(F)(F)F
117066419,CC(=O)C1C(=O)C2=CC=CC=C2S(=O)(=O)N1CC#N
117066154,C1CCC(=O)C(C1)C(=O)C2=CC=C(C=C2)OCC3=CC=CC=C3
2795191,COC(=O)C(=O)CC(=O)C1=CC=CC=C1[N+](=O)[O-]
5043406,CC1=CC=C(C=C1)C(=O)CCC2C(=O)C3=CC=CC=C3C2=O
117064303,CC=NN=C1C(C(=O)C2=CC=CC=C21)C(=O)C(C3=CC=CC=C3)C4=CC=CC=C4
117064317,C1CCC(=NN=C2C(C(=O)C3=CC=CC=C32)C(=O)C(C4=CC=CC=C4)C5=CC=CC=C5)CC1
1480007,CC(=O)C(CC1=CC(=CC=C1)C(F)(F)F)C(=O)C
45055342,COC(=O)C(=O)CC(=O)C1=CC(=C(C=C1Cl)Cl)F
43118997,COC(=O)C(=O)CC(=O)C1=CC=C(C=C1)C#N
4063828,C1=COC(=C1)C(=O)CC(=O)C(F)F
764752,CC1=CC=C(C=C1)SC(C(=O)C2=CC=CC=C2)C(=O)C3=CC=CC=C3
64993402,CC(=O)CC(=O)C1=NC=CS1
31261,CC(=O)CC(=O)C
51040,CC(C)(C)C1=CC=C(C=C1)C(=O)CC(=O)C2=CC=C(C=C2)OC
8433,C1=CC=C(C=C1)C(=O)CC(=O)C2=CC=CC=C2
7166,CC(=O)CC(=O)C1=CC=CC=C1
70700,CC(C)(C)C(=O)CC(=O)C(C)(C)C
73706,C(C(=O)C(F)(F)F)C(=O)C(F)(F)F
5601,C1=CSC(=C1)C(=O)CC(=O)C(F)(F)F
73943,CC(=O)CC(=O)C(F)(F)F
10465171,CC(=O)CC(=O)C1=CC=CC=C1OC
425461,C(C(=O)C(C(C(F)(F)F)(F)F)(F)F)C(=O)C(F)(F)F
2771473,COC1=CC=CC=C1C(=O)CC(=O)C(F)(F)F
13370511,CCOC(=O)C(=O)CC(=O)C1=CC(=CC=C1)C(F)(F)F
3765615,CC1(CC(=O)C(C(=O)C1)C2C3=CC=CC=C3OC4=C2C(=O)CC(C4)(C)C)C
43186887,CCOC(=O)C(=O)CC(=O)C1=CC(=C(C=C1)OC)OC
617328,C(C(=O)C(C(C(F)(F)F)(F)F)(F)F)C(=O)C(C(C(F)(F)F)(F)F)(F)F
68411,C1=CSC(=C1)C(=O)CC(=O)C(C(C(F)(F)F)(F)F)(F)F
238298,C1=CN=CC=C1C(=O)CC(=O)C(F)(F)F
91785,CC(=O)C(C(=O)C)N=NC1=CC=CC=C1
431026,C1CC(C(=O)C1)C(=O)C2=CC=CC=C2
12242177,CCOC(=O)C(=O)CC(=O)C1=CC=C(C=C1)OCC2=CC=CC=C2
15338012,C1=CC(=CC(=C1)Cl)C(=O)CC(=O)C(F)(F)F
12306279,CCOC(=O)C(=O)C1CCC2=CC=CC=C2C1=O
368060,CC(=O)CC(=O)C1=CC(=C(C=C1)OC)OC
11252382,CCOC(=O)C1CC(=O)CC(=O)C1
19576760,CCOC(=O)C(=O)CC(=O)C(F)(F)F
112295,CC(C)CC(=O)CC(=O)C(C)(C)C
2778488,CC(=O)CC(=O)C(F)F
14242351,CC1=CC=CC=C1C(=O)CC(=O)C
5709927,CC(=O)CC(=O)C=CC1=CC=CC=C1
22997478,CCOC(=O)C(=O)CC(=O)C1=C(C=C(C=C1)Cl)Cl
722646,CC(=O)C(C(=O)C)SC1=CC=C(C=C1)Cl
12080913,C1OC2=C(O1)C=C(C=C2)C(=O)CC(=O)C(F)F
